,date,Labor Productivity,Unemployment Rate,Federal Funds Rate,Inflation,GDP,Population,Investment,Government Spending,Consumption,Net Exports,GDP_per_capita
0,1968-01-01,3.4,3.7,4.5,3.65186106,909.387,199864.0,592.754,177.285,530.9,1.054,4550.029019733419
1,1968-04-01,4.0,3.5,5.5,4.155828095,934.344,200285.0,615.427,183.665,544.0,1.749,4665.072272012382
2,1968-07-01,3.5,3.7,6.13,4.753076334,950.825,200802.0,598.643,186.229,563.2,1.65,4735.137100228086
3,1968-10-01,3.0,3.4,6.0,5.182592347,968.03,201378.0,605.155,190.202,571.6,0.945,4807.029566288274
4,1969-01-01,1.5,3.4,4.0,5.746196961,993.337,201821.0,640.79,188.097,583.5,0.239,4921.871361255766
5,1969-04-01,-0.2,3.4,6.63,6.505620421,1009.02,202246.0,637.015,194.972,593.9,1.104,4989.0727134282015
6,1969-07-01,-0.2,3.5,8.75,6.389268621,1029.956,202777.0,649.948,199.772,602.7,1.231,5079.254550565399
7,1969-10-01,-0.4,3.7,8.0,6.560106336,1038.147,203401.0,618.565,205.097,618.5,3.149,5103.94245849332
8,1970-01-01,-0.9,3.9,5.0,6.592370014,1051.2,203929.0,600.116,208.693,628.7,3.514,5154.735226475881
9,1970-04-01,1.4,4.6,8.0,6.817838113,1067.375,204504.0,601.421,220.11,636.0,5.207,5219.33556311857
10,1970-07-01,2.9,5.0,7.0,7.00787567,1086.059,205174.0,611.208,223.37,648.5,4.088,5293.355883299054
11,1970-10-01,2.4,5.5,6.5,7.057638255,1088.608,205906.0,578.757,227.603,658.3,2.985,5286.917331209387
12,1971-01-01,5.1,5.9,3.0,7.014858012,1135.156,206567.0,646.232,233.12,676.1,4.57,5495.340494851549
13,1971-04-01,3.9,5.9,4.0,5.306250794,1156.271,207163.0,664.569,242.896,688.8,-0.401,5581.455182633965
14,1971-07-01,3.3,6.0,5.25,5.165044197,1177.675,207771.0,672.632,242.609,698.9,0.236,5668.139441981797
15,1971-10-01,3.3,5.8,5.38,4.376576593,1190.297,208450.0,654.519,247.782,715.8,-1.92,5710.227872391461
16,1972-01-01,1.9,5.8,3.0,3.728280469,1230.609,208989.0,697.648,258.846,731.5,-3.534,5888.391255042131
17,1972-04-01,3.6,5.7,4.0,3.971403024,1266.369,209466.0,737.276,267.56,752.5,-4.258,6045.701927759159
18,1972-07-01,3.3,5.6,4.5,3.467340855,1290.566,209986.0,747.745,260.264,769.9,-2.638,6145.962111759832
19,1972-10-01,5.0,5.6,4.88,3.331141241,1328.904,210568.0,752.434,285.409,794.9,-3.061,6311.044413206185
20,1973-01-01,5.8,4.9,5.5,2.842802671,1377.49,211053.0,796.53,283.042,816.5,-1.4,6526.749205175951
21,1973-04-01,3.8,5.0,7.38,3.031703085,1413.887,211499.0,830.483,287.36,835.7,2.454,6685.076525184516
22,1973-07-01,2.2,4.8,8.88,3.013319714,1433.838,212001.0,800.37,286.911,854.1,6.437,6763.354889835426
23,1973-10-01,0.7,4.6,10.9,4.765238145,1476.289,212555.0,828.879,292.909,868.2,8.952,6945.444708428407
24,1974-01-01,-1.8,5.1,9.83,5.845776926,1491.209,213003.0,781.544,302.072,884.5,6.394,7000.88261667676
25,1974-04-01,-2.1,5.1,10.01,7.104721156,1530.056,213437.0,778.425,314.483,910.8,-2.714,7168.653982205522
26,1974-07-01,-2.2,5.5,14.33,9.526994824,1560.026,213948.0,738.08,324.454,937.9,-6.972,7291.612915287827
27,1974-10-01,-0.7,6.0,11.3,10.561468061,1599.679,214538.0,742.56,338.388,959.2,0.033,7456.39001016137
28,1975-01-01,0.3,8.1,3.87,11.624378564,1616.116,214998.0,622.949,354.024,975.6,16.481,7516.88852919562
29,1975-04-01,2.2,8.8,5.48,11.698351766,1651.853,215438.0,604.403,377.665,995.0,21.582,7667.417075910471
30,1975-07-01,4.5,8.6,6.12,9.76743143,1709.82,216084.0,651.26,379.106,1039.8,12.043,7912.756150385961
31,1975-10-01,3.7,8.4,6.24,8.109587525,1761.831,216679.0,669.438,388.241,1060.9,13.801,8131.064847077935
32,1976-01-01,4.5,7.9,5.37,7.691042386,1820.487,217172.0,734.031,393.991,1107.1,4.65,8382.696664395042
33,1976-04-01,3.8,7.7,4.83,6.847460223,1852.332,217607.0,763.083,395.709,1125.4,-0.496,8512.281314479773
34,1976-07-01,2.8,7.8,5.58,7.088593777,1886.558,218134.0,765.742,407.495,1149.6,-4.073,8648.619655807897
35,1976-10-01,2.9,7.7,5.32,6.878373933,1934.273,218739.0,771.471,416.741,1176.8,-6.603,8842.835525443565
36,1977-01-01,2.1,7.5,4.17,6.048908185,1988.648,219262.0,807.213,420.834,1215.0,-21.079,9069.733925623226
37,1977-04-01,1.6,7.2,4.72,6.580655715,2055.909,219772.0,865.083,428.835,1247.3,-21.136,9354.735817119561
38,1977-07-01,2.4,6.9,5.36,6.881150829,2118.473,220349.0,908.859,442.98,1280.5,-20.579,9614.171155757458
39,1977-10-01,0.8,6.8,6.46,6.950144555,2164.27,221007.0,886.06,456.618,1311.4,-29.582,9792.76674494473
40,1978-01-01,0.2,6.4,6.53,7.371987718,2202.76,221553.0,903.329,468.33,1329.5,-38.681,9942.361421420608
41,1978-04-01,1.8,6.1,6.97,7.413807475,2331.633,222084.0,962.001,478.557,1396.4,-22.624,10498.878802615227
42,1978-07-01,0.8,6.2,8.01,7.912838518,2395.053,222697.0,990.029,492.031,1426.8,-23.76,10754.760953223438
43,1978-10-01,2.8,5.8,8.9,9.03646557,2476.949,223383.0,1012.924,504.542,1466.9,-16.4,11088.350501157205
44,1979-01-01,1.8,5.9,10.84,9.070516336,2526.61,223973.0,1014.607,511.805,1502.4,-18.159,11280.86867613507
45,1979-04-01,-0.4,5.8,10.07,9.918953512,2591.247,224529.0,1013.693,522.934,1538.4,-22.189,11540.812099995992
46,1979-07-01,-0.6,5.7,10.54,10.50434739,2667.565,225174.0,996.622,543.29,1586.1,-23.029,11846.6830095837
47,1979-10-01,-1.3,6.0,12.06,11.257284188,2723.883,225893.0,978.943,559.516,1641.6,-26.802,12058.288658789781
48,1980-01-01,0.0,6.3,14.77,13.469735746,2789.842,226554.0,972.248,583.861,1697.3,-35.803,12314.24737590155
49,1980-04-01,-0.8,6.9,19.79,14.755204998,2797.352,227156.0,889.579,608.694,1695.2,-15.211,12314.673616369368
50,1980-07-01,-0.3,7.8,9.47,14.133410238,2856.483,227840.0,830.866,639.968,1747.1,5.471,12537.232268258427
51,1980-10-01,0.8,7.5,13.05,13.084188753,2985.557,228515.0,908.306,657.298,1817.1,-6.682,13065.03730608494
52,1981-01-01,1.9,7.5,22.0,12.018100571,3124.206,229004.0,992.376,680.243,1870.0,-14.259,13642.582662311575
53,1981-04-01,1.6,7.2,14.51,9.710596634,3162.532,229489.0,951.246,695.699,1904.4,-13.508,13780.756376122603
54,1981-07-01,2.2,7.2,21.09,11.238230349,3260.609,230077.0,1004.861,722.114,1942.1,-7.561,14171.81639190358
55,1981-10-01,0.1,7.9,16.96,11.266251913,3280.818,230732.0,969.475,738.484,1963.9,-14.75,14219.172026420263
56,1982-01-01,-1.9,8.6,13.13,9.469843405,3274.302,231235.0,877.772,753.575,1997.1,-16.276,14160.062274309685
57,1982-04-01,-0.6,9.3,15.48,9.081124943,3331.972,231727.0,877.104,767.553,2026.3,-4.386,14378.868237192904
58,1982-07-01,-1.3,9.8,14.73,7.889386151,3366.322,232290.0,869.067,794.534,2072.2,-29.647,14491.893753497783
59,1982-10-01,0.6,10.4,10.87,5.978948458,3402.561,232905.0,801.889,828.404,2125.8,-29.587,14609.22264442584
60,1983-01-01,2.5,10.4,11.2,4.424606951,3473.413,233398.0,829.672,831.494,2174.0,-24.548,14881.931293327278
61,1983-04-01,4.7,10.2,9.12,4.187719488,3578.848,233852.0,903.148,852.517,2226.4,-45.434,15303.901612985992
62,1983-07-01,4.7,9.4,9.31,2.370321394,3689.179,234404.0,959.692,864.3,2304.4,-65.2,15738.5496834525
63,1983-10-01,4.4,8.8,10.59,2.837489986,3794.706,234993.0,1053.054,859.457,2357.6,-71.385,16148.166115586422
64,1984-01-01,3.5,8.0,9.92,4.47100051,3908.054,235456.0,1154.826,874.942,2419.4,-95.004,16597.810206577873
65,1984-04-01,1.9,7.7,10.24,4.632179596,4009.601,235916.0,1192.381,897.828,2457.5,-104.301,16995.88412824904
66,1984-07-01,2.1,7.5,10.85,4.88156286,4084.25,236449.0,1218.184,914.311,2494.6,-103.847,17273.280918929664
67,1984-10-01,1.6,7.4,11.38,5.086232886,4148.551,237068.0,1202.383,943.661,2531.3,-107.756,17499.413670339312
68,1985-01-01,1.4,7.3,8.74,4.71440976,4230.168,237535.0,1169.416,952.096,2618.8,-91.298,17808.60925758309
69,1985-04-01,1.2,7.3,8.83,4.742850309,4294.887,237987.0,1189.334,966.688,2659.5,-114.445,18046.72944320488
70,1985-07-01,2.0,7.4,8.12,4.934458147,4386.773,238573.0,1181.226,984.669,2715.7,-116.895,18387.550141885295
71,1985-10-01,2.3,7.1,8.26,4.87735108,4444.094,239210.0,1224.763,996.43,2755.8,-133.434,18578.21161322687
72,1986-01-01,3.2,6.7,13.46,5.280952944,4507.894,239713.0,1224.404,1007.454,2827.1,-126.014,18805.379766637605
73,1986-04-01,3.7,7.1,7.49,5.352667382,4545.34,240183.0,1203.028,1033.105,2835.2,-128.872,18924.486745523205
74,1986-07-01,2.8,7.0,6.97,4.960427947,4607.669,240753.0,1170.667,1052.329,2881.2,-138.961,19138.57355879262
75,1986-10-01,2.2,7.0,5.99,4.881662479,4657.627,241371.0,1174.171,1042.504,2932.9,-133.629,19296.547638282977
76,1987-01-01,0.5,6.6,14.35,4.492110038,4722.156,241857.0,1205.858,1045.149,2935.5,-141.234,19524.578573289175
77,1987-04-01,0.4,6.3,6.22,4.371203735,4806.16,242338.0,1206.486,1061.117,3038.8,-146.977,19832.465399565895
78,1987-07-01,0.0,6.1,6.07,4.178766144,4884.555,242908.0,1206.662,1064.747,3094.7,-145.464,20108.662538903616
79,1987-10-01,1.2,6.0,7.71,4.356981982,5007.994,243543.0,1288.881,1089.898,3134.5,-145.405,20563.07920983153
80,1988-01-01,2.1,5.7,6.89,4.373233966,5073.372,244056.0,1227.008,1107.967,3213.7,-123.987,20787.737240633298
81,1988-04-01,1.7,5.4,6.7,4.37597416,5190.036,244528.0,1256.243,1108.813,3263.0,-106.627,21224.710462605508
82,1988-07-01,1.9,5.4,7.75,4.70086963,5282.835,245131.0,1263.222,1120.902,3342.7,-99.263,21551.06861229302
83,1988-10-01,1.0,5.4,8.54,4.607887381,5399.509,245789.0,1282.499,1151.873,3413.7,-107.694,21968.066105480717
84,1989-01-01,0.8,5.4,9.04,4.748201473,5511.253,246301.0,1326.029,1171.136,3483.7,-100.965,22376.08860702961
85,1989-04-01,0.8,5.2,9.79,4.618488017,5612.463,246814.0,1313.202,1194.208,3543.0,-88.16,22739.646049251663
86,1989-07-01,1.0,5.2,9.63,4.893807623,5695.365,247458.0,1301.412,1212.452,3585.7,-75.075,23015.481415028004
87,1989-10-01,0.9,5.3,9.24,4.802933382,5747.237,248174.0,1291.758,1229.556,3633.6,-82.765,23158.094723863094
88,1990-01-01,1.7,5.4,7.97,4.905908309,5872.701,248743.0,1304.586,1261.251,3730.7,-88.536,23609.512629501132
89,1990-04-01,2.1,5.4,8.3,5.276985365,5960.028,249436.0,1304.993,1287.513,3770.0,-68.833,23894.016902131207
90,1990-07-01,2.0,5.5,8.32,5.516605952,6015.116,250285.0,1279.695,1297.056,3821.7,-74.953,24033.06630441297
91,1990-10-01,0.9,5.9,8.25,5.798506168,6004.733,251201.0,1208.107,1317.797,3870.6,-79.096,23904.096719360194
92,1991-01-01,0.3,6.4,5.53,5.815290409,6035.178,252012.0,1167.908,1281.354,3841.0,-47.14,23947.97866768249
93,1991-04-01,1.2,6.7,6.48,5.276160434,6126.862,252778.0,1167.904,1345.598,3907.1,-23.188,24238.11407638323
94,1991-07-01,1.7,6.8,6.38,4.713410392,6205.937,253650.0,1191.028,1384.626,3966.0,-21.074,24466.536566134437
95,1991-10-01,3.3,7.0,5.4,4.288991989,6264.54,254576.0,1233.261,1413.344,3976.0,-23.053,24607.739928351453
96,1992-01-01,5.0,7.3,4.09,4.052308746,6363.102,255331.0,1210.478,1458.39,4084.7,-20.536,24920.992750586494
97,1992-04-01,4.2,7.4,4.98,4.066438773,6470.763,256139.0,1278.935,1476.444,4131.5,-32.788,25262.701111505863
98,1992-07-01,4.3,7.7,3.89,3.769367667,6566.641,257063.0,1289.101,1498.726,4204.8,-38.488,25544.870323617168
99,1992-10-01,4.4,7.3,3.58,3.6359146,6680.803,258004.0,1328.433,1521.869,4284.7,-47.14,25894.183811103703
100,1993-01-01,1.5,7.3,2.66,3.528455109,6729.459,258799.0,1359.751,1522.365,4340.7,-55.704,26002.6468417575
101,1993-04-01,0.0,7.1,3.31,3.404237829,6808.939,259547.0,1367.575,1532.659,4393.4,-63.187,26233.9345089714
102,1993-07-01,-0.4,6.9,3.27,3.422616714,6882.098,260411.0,1358.287,1550.905,4468.9,-68.354,26427.831389611038
103,1993-10-01,-0.6,6.8,3.19,3.424737275,7013.738,261294.0,1429.661,1572.369,4532.8,-73.449,26842.32320680919
104,1994-01-01,0.5,6.6,2.85,3.375759896,7115.652,262021.0,1484.116,1552.96,4585.1,-80.595,27156.800409127514
105,1994-04-01,1.2,6.4,3.64,3.354397547,7246.931,262754.0,1557.107,1567.862,4671.1,-90.572,27580.668610182907
106,1994-07-01,0.2,6.1,3.82,3.233880147,7331.075,263580.0,1531.67,1596.722,4720.6,-96.868,27813.472190606266
107,1994-10-01,0.9,5.8,5.44,3.164264289,7455.288,264430.0,1594.684,1622.331,4812.9,-101.913,28193.8055440003
108,1995-01-01,0.6,5.6,4.94,3.144200833,7522.289,265157.0,1611.428,1642.508,4851.2,-105.329,28369.188820208405
109,1995-04-01,1.0,5.8,6.3,3.306684647,7580.997,265877.0,1577.96,1659.406,4890.2,-109.492,28513.1733846854
110,1995-07-01,1.6,5.7,6.11,3.386948974,7683.125,266700.0,1568.555,1670.844,4970.2,-74.444,28808.11773528309
111,1995-10-01,1.1,5.5,6.2,3.46411606,7772.586,267585.0,1607.513,1665.404,5013.9,-69.78,29047.166320982116
112,1996-01-01,1.6,5.6,4.73,3.277075064,7868.468,268258.0,1633.332,1701.217,5085.7,-88.795,29331.717972996146
113,1996-04-01,2.1,5.6,5.53,3.004778103,8032.84,268980.0,1711.813,1711.469,5208.0,-93.709,29864.07911368875
114,1996-07-01,2.5,5.5,7.8,3.087421545,8131.408,269822.0,1789.565,1715.062,5251.9,-114.18,30136.193490523383
115,1996-10-01,2.1,5.2,5.53,2.943741816,8259.771,270730.0,1787.19,1735.168,5328.5,-88.822,30509.25645477044
